Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c5_1423250_1429910,and we had lowered that - we had used tighter pruning after liz ran some experiments showing that you know it runs slower .,and we had lowered that - we had used tighter pruning after liz ran some experiments showing that you know it runs slower .,s,s
Bmr019-c5_1429910_1432090,and there's no real difference in ==,and there's no real difference in ==,s.%-,s.%-
Bmr019-c4_1431240_1431760,no gain .,no gain .,s^2,s^2
Bmr019-c0_1431350_1434070,actually it was better with - slightly better or about th- ==,actually it was better with - slightly better or about th- ==,s^ng.%--,s^ng.%--
Bmr019-c5_1433650_1433940,right .,right .,s^aa,s^aa
Bmr019-c0_1434070_1435480,it was the same with tighter pruning .,it was the same with tighter pruning .,s^e^ng,s^e^ng
Bmr019-c5_1435010_1438640,so for free recognition this - the lower pruning value is better .,so for free recognition this - the lower pruning value is better .,s,s
Bmr019-c5_1438970_1439180,you ==,you ==,%-,%-
Bmr019-c0_1439000_1445320,it's probably because the recognition's just bad en- - at a point where it's bad enough that - that you don't lose anything .,it's probably cuz the recognition's just bad en- - at a point where it's bad enough that - that you don't lose anything .,s,s
Bmr019-c5_1442190_1442410,correct .,correct .,s^aa,s^aa
Bmr019-c5_1443670_1443880,right .,right .,b,b
Bmr019-c5_1445010_1452150,um | but it turned out for - for - to get accurate alignments it was really important to open up the pruning significantly .,um | but it turned out for - for - to get accurate alignments it was really important to open up the pruning significantly .,fg|s,fg|s
Bmr019-c0_1451260_1451580,right .,right .,b,b
Bmr019-c1_1452370_1452640,huh .,hmm .,b,b
Bmr019-c5_1452750_1460310,um | because otherwise it would sort of do greedy alignment um in regions where there was no real speech yet from the foreground speaker .,um | because otherwise it would sort of do greedy alignment um in regions where there was no real speech yet from the foreground speaker .,fh|s^df,fh|s^df
Bmr019-c1_1460490_1460900,uhhuh .,mm-hmm .,b,b
Bmr019-c5_1461220_1464840,um so that was one big factor that helped improve things .,um so that was one big factor that helped improve things .,s,s
Bmr019-c5_1464840_1466830,and then the other thing was that ==,and then the other thing was that ==,s.%--,s.%--
Bmr019-c5_1467780_1474790,you know as liz said the - we f- - enforce the fact that uh the foreground speech has to be continuous .,you know as liz said the - we f- - enforce the fact that uh the foreground speech has to be continuous .,s,s
Bmr019-c5_1474790_1480990,it cannot be you cannot have a background speech hypothesis in the middle of the foreground speech .,it cannot be you cannot have a background speech hypothesis in the middle of the foreground speech .,s^e,s^e
Bmr019-c5_1481220_1483830,you can only have background speech at the beginning and the end .,you can only have background speech at the beginning and the end .,s^e,s^e
Bmr019-c0_1484460_1486150,yeah | i mean yeah it isn't always true .,yeah | i mean yeah it isn't always true .,fg|s^arp,fg|s^arp
Bmr019-c0_1486150_1489330,and i think what we really want is some clever way to do this .,and i think what we really want is some clever way to do this .,s^cs,s^cs
Bmr019-c0_1489330_1495150,where um you know from the data or from maybe some hand corrected alignments from transcribers that ==,where um you know from the data or from maybe some hand-corrected alignments from transcribers that ==,s.%--,s.%--
Bmr019-c0_1495690_1504250,things like words that do occur just by themselves a- - alone like backchannels or something that we did allow to have background speech around it ==,things like words that do occur just by themselves a- - alone like backchannels or something that we did allow to have background speech around it ==,s.%--,s.%--
Bmr019-c3_1501410_1501600,yeah .,yeah .,b,b
Bmr019-c0_1504600_1505800,those would be able to do that .,those would be able to do that .,s,s
Bmr019-c2_1504880_1505200,sorry .,sorry .,s^fa.%,s^fa.%
Bmr019-c0_1505800_1507560,but the rest would be constrained .,but the rest would be constrained .,s,s
Bmr019-c0_1508670_1512790,so i think we have a version that's pretty good for the native speakers .,so i think we have a version that's pretty good for the native speakers .,s,s
Bmr019-c0_1512790_1514720,i don't know yet about the non native speakers .,i don't know yet about the non-native speakers .,s^no,s^no
Bmr019-c0_1515710_1516760,and um ==,and um ==,fh,fh
Bmr019-c0_1517830_1523700,we basically also made noise models for the different - sort of grouped some of the mouth noises together .,we basically also made noise models for the different - sort of grouped some of the mouth noises together .,s,s
Bmr019-c0_1524440_1526820,um | so and then there's a background speech model .,um | so and then there's a background speech model .,fh|s,fh|s
Bmr019-c0_1527470_1528360,and we also ==,and we also ==,s.%--,s.%--
Bmr019-c0_1528460_1530830,there was some neat - or interesting cases .,there was some neat - or interesting cases .,s,s
Bmr019-c0_1530830_1534560,like there's one meeting where um jose's giving a presentation .,like there's one meeting where um jose's giving a presentation .,s,s
Bmr019-c0_1534560_1538510,and he's talking about um the word mixed signal .,and he's talking about um the word mixed signal .,s:s,s:s
Bmr019-c0_1538510_1542080,and someone didn't understand uh that you were saying mixed .,and someone didn't understand uh that you were saying mixed .,s:s,s:s
Bmr019-c0_1542330_1542920,i think morgan .,i think morgan .,s,s
Bmr019-ca_1543260_1543900,yeah yeah .,yeah yeah .,b,b
Bmr019-c0_1543480_1548110,and so your speech - -ch was s- - saying something about mixed signal .,and so your speech - -ch was s- - saying something about mixed signal .,s:s,s:s
Bmr019-c0_1548110_1552860,and the next turn was a lot of people saying mixed .,and the next turn was a lot of people saying mixed .,s,s
Bmr019-c0_1552860_1554940,like he means mixed signal or i think it's mixed .,like he means mixed signal or i think it's mixed .,s^e:s,s^e:s
Bmr019-c0_1554940_1557840,and the word mixed in this segment occurs like a bunch of times .,and the word mixed in this segment occurs like a bunch of times .,s,s
Bmr019-ca_1555010_1555660,sh- ==,sh- ==,%-,%-
Bmr019-c0_1558390_1560070,and chuck's on the lapel here .,and chuck's on the lapel here .,s,s
Bmr019-c0_1560070_1561320,and he also says mixed .,and he also says mixed .,s,s
Bmr019-c0_1561320_1562460,but it's at the last one .,but it's at the last one .,s^rt,s^rt
Bmr019-c0_1562460_1565890,and of course the aligner th- - aligns it everywhere else to everybody else's mixed .,and of course the aligner th- - aligns it everywhere else to everybody else's mixed .,s:s,s:s
Bmr019-ca_1565740_1565960,yeah .,yeah .,b,b
Bmr019-c0_1566390_1567650,because there's no adaptation yet .,cuz there's no adaptation yet .,s^df,s^df
Bmr019-c0_1567650_1571170,so there's i think there's some issues about u- ==,so there's i think there's some issues about u- ==,s.%--,s.%--
Bmr019-c0_1571170_1574390,we probably want to adapt at least the foreground speaker .,we probably want to adapt at least the foreground speaker .,s^cs^rt,s^cs^rt
Bmr019-c0_1574390_1579010,but i guess andreas tried adapting both the foreground and a background generic speaker .,but i guess andreas tried adapting both the foreground and a background generic speaker .,s,s
Bmr019-c0_1579010_1582410,and that's actually a little bit of a f- - funky model .,and that's actually a little bit of a f- - funky model .,s^ba,s^ba
Bmr019-c0_1582410_1584190,like it gives you some weird alignments .,like it gives you some weird alignments .,s,s
Bmr019-c0_1584190_1588240,just because often the background speakers match better to the foreground than the foreground speaker .,just because often the background speakers match better to the foreground than the foreground speaker .,s^df,s^df
Bmr019-c5_1584890_1585150,oh ==,oh ==,fg,fg
Bmr019-c3_1587680_1587870,yeah .,yeah .,b,b
Bmr019-ca_1587960_1588370,oh .,oh .,b,b
Bmr019-c0_1588240_1589400,so there's some things there .,so there's some things there .,s,s
Bmr019-c0_1589640_1593320,especially when you get lots of the same words uh occurring in the .,especially when you get lots of the same words uh occurring in the .,s^df^e,s^df^e
Bmr019-c5_1592410_1592840,well | the ==,well | the ==,fg|%-,fg|%-
Bmr019-c5_1593690_1597390,i - i think you can do better by uh cloning ==,i - i think you can do better by uh cloning ==,s.%--,s.%--
Bmr019-c5_1597390_1598790,so we have a reject phone .,so we have a reject phone .,s,s
Bmr019-c5_1599430_1608090,and you - and what we wanted to try with - you know once we have this paper written and have a little more time uh t- - cloning that reject model .,and you - and what we wanted to try with - you know once we have this paper written and have a little more time uh t- - cloning that reject model .,s,s
Bmr019-c5_1608090_1613650,and then one copy of it would be adapted to the foreground speaker to capture the rejects in the foreground .,and then one copy of it would be adapted to the foreground speaker to capture the rejects in the foreground .,s,s
Bmr019-c5_1613650_1614720,like fragments and stuff .,like fragments and stuff .,s^e,s^e
Bmr019-c5_1614720_1617660,and the other copy would be adapted to the background speaker .,and the other copy would be adapted to the background speaker .,s,s
Bmr019-c0_1618500_1620230,right | i mean in general we actually ==,right | i mean in general we actually ==,fg|s.%-,fg|s.%-
Bmr019-c5_1619010_1619280,and ==,and ==,%-,%-
Bmr019-c0_1620510_1624290,right now the words like partial words are reject models .,right now the words like partial words are reject models .,s:s,s:s
Bmr019-c5_1624450_1624780,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c0_1624850_1627100,and you normally allow those to match to any word .,and you normally allow those to match to any word .,s,s
Bmr019-c0_1627100_1629650,but then the background speech was also a reject model .,but then the background speech was also a reject model .,s,s
Bmr019-c0_1630080_1632540,and so this constraint of not allowing rejects in between .,and so this constraint of not allowing rejects in between .,s,s
Bmr019-c0_1632540_1634420,you know it needs to differentiate between the two .,you know it needs to differentiate between the two .,s,s
Bmr019-c0_1634420_1638480,so just sort of working through a bunch of debugging kinds of issues .,so just sort of working through a bunch of debugging kinds of issues .,s,s
Bmr019-c5_1634990_1635230,right .,right .,b,b
Bmr019-c0_1639210_1642470,and another one is turns like people starting with well i think ==,and another one is turns like people starting with well i think ==,s.%--:s.%--,s.%--:s.%--
Bmr019-c0_1642470_1644530,and someone else is well how about ==,and someone else is well how about ==,s.%--:qo.%--,s.%--:qo.%--
Bmr019-c0_1644520_1648980,so the word well is in this in this segment multiple times .,so the word well is in this in this segment multiple times .,s:s,s:s
Bmr019-c0_1648980_1652990,and as soon as it occurs usually the aligner will try to align it to the first person who says it .,and as soon as it occurs usually the aligner will try to align it to the first person who says it .,s,s
Bmr019-c0_1653460_1660580,but then that constraint of sort of uh proximity constraint will push it over to the person who really said it in general .,but then that constraint of sort of uh proximity constraint will push it over to the person who really said it in general .,s,s
Bmr019-c4_1659780_1661850,is the proximity constraint a hard constraint ?,is the proximity constraint a hard constraint ?,qy,qy
Bmr019-c4_1661850_1664860,or did you do some sort of probabilistic weighting distance or ?==,or did you do some sort of probabilistic weighting distance or ?==,qrr.%--,qrr.%--
Bmr019-c5_1663720_1664530,we - we didn't ==,we - we didn't ==,s.%-,s.%-
Bmr019-c5_1664580_1664990,no .,no .,s^ar,s^ar
Bmr019-c0_1664700_1666180,right now it's a kluge .,right now it's a kluge .,s,s
Bmr019-c5_1664990_1665470,we - w- ==,we - w- ==,%-,%-
Bmr019-c5_1666310_1666690,okay .,o_k .,fg,fg
Bmr019-c5_1666750_1673240,we - it's straightforward to actually just have a - a penalty that doesn't completely disallows it but discourages it .,we - it's straightforward to actually just have a - a penalty that doesn't completely disallows it but discourages it .,s^rt,s^rt
Bmr019-c5_1673830_1678770,but um we just didn't have time to play with you know tuning yet another - yet another parameter .,but um we just didn't have time to play with you know tuning yet another - yet another parameter .,s^df,s^df
Bmr019-c4_1676880_1677690,the ve- - level .,the ve- - level .,s^2,s^2
Bmr019-c4_1677690_1678020,yeah .,yeah .,b,b
Bmr019-c0_1678690_1679080,yeah .,yeah .,b,b
Bmr019-c5_1679090_1683430,and really the reason we can't do it is just that we don't have a - we don't have ground truth for these .,and really the reason we can't do it is just that we don't have a - we don't have ground truth for these .,s,s
Bmr019-c5_1683660_1688420,so we would need a hand marked um word level alignments .,so we would need a hand-marked um word-level alignments .,s^cs,s^cs
Bmr019-c5_1688480_1692780,or at least sort of the boundaries of the speech betw- - you know between the speakers .,or at least sort of the boundaries of the speech betw- - you know between the speakers .,s^cs^e,s^cs^e
Bmr019-c5_1693330_1695610,um | and then use that as a reference .,um | and then use that as a reference .,fh|s,fh|s
Bmr019-c5_1695610_1701330,and tune the parameters of the - of the model uh to op- - to get the best performance .,and tune the parameters of the - of the model uh to op- - to get the best performance .,s,s
Bmr019-c0_1700460_1700870,yeah .,yeah .,s^aa,s^aa
Bmr019-c1_1700810_1707000,g- - given - i - i mean i wa- - i wa- - i was going to ask you anyway uh how you assessed that things were better ?,g- - given - i - i mean i wa- - i wa- - i was gonna ask you anyway uh how you assessed that things were better ?,qw,qw
Bmr019-c5_1703180_1703840,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c0_1707620_1708800,i looked at them .,i looked at them .,s,s
Bmr019-c0_1708800_1711660,i spent two days - um in waves .,i spent two days - um in waves .,s,s
Bmr019-c1_1708940_1709250,okay .,o_k .,s^bk,s^bk
Bmr019-c0_1711920_1713100,oh it was painful .,oh it was painful .,s^ba,s^ba
Bmr019-c0_1713100_1716420,because the thing is you know the alignments share a lot in common .,because the thing is you know the alignments share a lot in common .,s^df,s^df
